user_statuses_count,user_followers_count,full_text,user_url,user_location,user_description,user_profile_image_url_https,is_quote_status,quote_count,user_friends_count,full_text_norm,entities_user_mentions,entities_urls,in_reply_to_user_id_str,favorite_count,lang,user_created_at,user_listed_count,created_at,user_id_str,user_favourites_count,user_verified,source,in_reply_to_status_id_str,reply_count,in_reply_to_screen_name,id_str,entities_hashtags,text_sentiment,retweet_count,user_name,user_screen_name
None,None,Solidaritas kami dr @wargaberdaya #Jogja ... #SalamKamcil #JogjaAsat #SlemanAmbyar #JogjaKangenKPK #JogjaOraDidol,None,None,None,None,None,None,None,Solidaritas kami dr @wargaberdaya #Jogja ... #SalamKamcil #JogjaAsat #SlemanAmbyar #JogjaKangenKPK #JogjaOraDidol,wargaberdaya,None,NA,0,None,None,None,2015-09-29T17:14:00Z,None,None,None,None,None,0,NA,648908762028249100,Jogja SalamKamcil JogjaAsat SlemanAmbyar JogjaKangenKPK JogjaOraDidol,neutral,14,Dodok Jogja,dodoputrabangsa
None,None,menolak lupa! #JogjaOraDidol | JKT48 Papan Penanda Isi Hati YOGYAKARTA Ver.:,None,None,None,None,None,None,None,menolak lupa! #JogjaOraDidol | JKT48 Papan Penanda Isi Hati YOGYAKARTA Ver.:,NA,None,NA,5,None,None,None,2015-09-29T16:27:00Z,None,None,None,None,None,0,NA,648897010427297800,JogjaOraDidol,neutral,15,JKT48 FC Yogyakarta,JKT48JOGJAFC
None,None,RT RinaldiBaga: Jogja hari ini #jogjaoradidol JogjaUpdate #jogja #jogjapict,None,None,None,None,None,None,None,RT RinaldiBaga: Jogja hari ini #jogjaoradidol JogjaUpdate #jogja #jogjapict,NA,None,NA,0,None,None,None,2015-09-29T15:45:00Z,None,None,None,None,None,0,NA,648886345637711900,jogjaoradidol jogja jogjapict,neutral,2,Jogja Daily Photo,foto_jogja
None,None,Jogja hari ini #jogjaoradidol @JogjaUpdate #jogja #jogja,None,None,None,None,None,None,None,Jogja hari ini #jogjaoradidol @JogjaUpdate #jogja #jogja,JogjaUpdate,None,NA,0,None,None,None,2015-09-29T15:32:00Z,None,None,None,None,None,0,NA,648882990613839900,jogjaoradidol jogja jogja,neutral,1,Aldi,RinaldiBaga
None,None,Drawing time.. #jogjaoradidol #jogjaasat #jogja #istimewa #republikguyub #draw #drawing #art #artwork…,None,None,None,None,None,None,None,Drawing time.. #jogjaoradidol #jogjaasat #jogja #istimewa #republikguyub #draw #drawing #art #artwork…,NA,None,NA,0,None,None,None,2015-09-29T06:03:00Z,None,None,None,None,None,0,NA,648739751076433900,jogjaoradidol jogjaasat jogja istimewa republikguyub draw drawing art artwork,neutral,0,Promise Land,PLclothinglab
None,None,#Prayfor salim kancil @melaniesubono jrx #bali_tolakrelamasi #jogjaoradidol…,None,None,None,None,None,None,None,#Prayfor salim kancil @melaniesubono jrx #bali_tolakrelamasi #jogjaoradidol…,melaniesubono,None,NA,0,None,None,None,2015-09-28T12:36:00Z,None,None,None,None,None,0,NA,648476414136688600,Prayfor bali_tolakrelamasi jogjaoradidol,neutral,0,fur,fur_oi
None,None,Ayooo galang solidaritas...!!! Sms utk Nurcholis Komnas HAM #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,None,None,None,None,None,None,None,Ayooo galang solidaritas...!!! Sms utk Nurcholis Komnas HAM #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,wargaberdaya,None,NA,1,None,None,None,2015-09-28T00:59:00Z,None,None,None,None,None,0,NA,648300914386710500,Solidaritas Jogja JogjaOraDidol,positive,4,Dodok Jogja,dodoputrabangsa
None,None,Ayooo galang solidaritas.!!! Sms utk Mentri Lingk Hidup & Kehutanan #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,None,None,None,None,None,None,None,Ayooo galang solidaritas.!!! Sms utk Mentri Lingk Hidup & Kehutanan #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,wargaberdaya,None,NA,1,None,None,None,2015-09-28T00:57:00Z,None,None,None,None,None,0,NA,648300448470859800,Solidaritas Jogja JogjaOraDidol,positive,5,Dodok Jogja,dodoputrabangsa
None,None,Ayooo galang solidaritas...!!! Sms utk Kasat reskrim Lumajang #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,None,None,None,None,None,None,None,Ayooo galang solidaritas...!!! Sms utk Kasat reskrim Lumajang #Solidaritas @wargaberdaya #Jogja #JogjaOraDidol,wargaberdaya,None,NA,1,None,None,None,2015-09-28T00:53:00Z,None,None,None,None,None,0,NA,648299496594608100,Solidaritas Jogja JogjaOraDidol,positive,4,Dodok Jogja,dodoputrabangsa
None,None,#JogjaOraDidol #JogjaKangenKPK,None,None,None,None,None,None,None,#JogjaOraDidol #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-27T04:49:00Z,None,None,None,None,None,0,NA,647996451604197400,JogjaOraDidol JogjaKangenKPK,neutral,0,Dodok Jogja,dodoputrabangsa
